Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
2308	117989	22,1	77003	-0,08	-0,25	0,98	8,9	-0,29	12,57	-0,05	-0,06	-0,03	2372,5	2373	2373
2309	118158	22,1	77001	-0,09	-0,22	0,77	8,91	-0,29	12,57	-0,04	-0,06	-0,03	2372,72	2373	2373
2310	118209	22,1	76996	-0,12	-0,22	0,89	8,91	-0,29	12,58	-0,05	-0,06	-0,03	2373,28	2373	2373
2311	118255	22,1	77003	-0,1	-0,14	0,95	8,92	-0,29	12,59	-0,04	-0,06	-0,03	2372,5	2373	2373
2312	118301	22,1	77006	-0,16	-0,23	0,87	8,92	-0,29	12,6	-0,04	-0,06	-0,02	2372,16	2373	2373
2313	118347	22,1	76990	-0,1	-0,13	0,88	8,93	-0,29	12,6	-0,04	-0,06	-0,03	2373,96	2373	2373
2314	118393	22,1	77003	-0,12	-0,19	0,89	8,93	-0,29	12,61	-0,04	-0,06	-0,03	2372,5	2373	2373
2315	118445	22,1	77003	-0,12	-0,2	0,87	8,94	-0,29	12,62	-0,05	-0,06	-0,03	2372,5	2373	2373
2316	118491	22,1	77003	-0,12	-0,16	0,84	8,94	-0,29	12,62	-0,05	-0,06	-0,03	2372,5	2373	2373
2317	118537	22,1	77003	-0,12	-0,18	0,91	8,95	-0,29	12,63	-0,05	-0,05	-0,03	2372,5	2373	2373
2318	118584	22,1	77003	-0,11	-0,19	0,93	8,95	-0,29	12,64	-0,04	-0,06	-0,03	2372,5	2373	2373
2319	118630	22,1	76997	-0,1	-0,23	0,98	8,96	-0,3	12,65	-0,05	-0,06	-0,03	2373,17	2373	2373
2320	118681	22,1	76997	-0,12	-0,22	0,84	8,96	-0,3	12,65	-0,05	-0,06	-0,03	2373,17	2373	2373
2321	118727	22,2	77003	-0,01	-0,24	0,88	8,97	-0,3	12,66	-0,05	-0,06	-0,03	2373,3	2373	2373
2322	118773	22,2	77003	-0,07	-0,2	0,93	8,97	-0,3	12,66	-0,04	-0,06	-0,02	2373,3	2373	2373
2323	118825	22,1	77006	-0,12	-0,15	0,84	8,98	-0,3	12,67	-0,05	-0,06	-0,03	2372,16	2373	2373
2324	118872	22,1	76986	-0,12	-0,15	0,95	8,98	-0,3	12,67	-0,04	-0,06	-0,03	2374,4	2373	2373
2325	118923	22,1	77003	-0,14	-0,23	0,9	8,98	-0,3	12,68	-0,05	-0,06	-0,03	2372,5	2373	2373
2326	118974	22,1	77006	-0,14	-0,1	0,9	8,99	-0,3	12,68	-0,05	-0,06	-0,03	2372,16	2373	2373
2327	119020	22,1	77003	-0,19	-0,12	0,99	9	-0,3	12,69	-0,05	-0,06	-0,03	2372,5	2373	2373
2328	119067	22,1	76992	-0,15	-0,19	0,95	9	-0,3	12,7	-0,04	-0,06	-0,03	2373,73	2373	2373
2329	119113	22,2	77003	-0,17	-0,2	0,93	9	-0,3	12,71	-0,05	-0,06	-0,03	2373,3	2373	2373
2330	119164	22,2	77008	-0,13	-0,24	0,99	9,01	-0,3	12,72	-0,04	-0,06	-0,03	2372,74	2373	2373
2331	119212	22,1	76997	-0,12	-0,19	0,98	9,01	-0,3	12,72	-0,05	-0,06	-0,03	2373,17	2373	2373
